Team,Coords
ATL,"33.757222, -84.396389"
BOS,"42.366303, -71.062228"
CHA,"35.225, -80.839167"
CHI,"41.880556, -87.674167"
CLE,"41.496389, -81.688056"
DAL,"32.790556, -96.810278"
DEN,"39.74866, -105.00771"
DET,"42.341111, -83.055"
GSW,"37.768056, -122.3875"
HOU,"29.750833, -95.362222"
IND,"39.763889, -86.155556"
LAC,"34.043056, -118.267222"
LAL,"34.043056, -118.267222"
MEM,"35.138333, -90.050556"
MIA,"25.781389, -80.188056"
MIL,"43.045028, -87.918167"
MIN,"44.979595, -93.276566"
NOP,"29.948889, -90.081944"
NYK,"40.750556, -73.993611"
BKN,"40.682661, -73.975225"
OKC,"35.463333, -97.515"
ORL,"28.539167, -81.383611"
PHI,"39.901111, -75.171944"
PHX,"33.445833, -112.071389"
POR,"45.531667, -122.666667"
SAC,"38.580361, -121.499611"
SAS,"29.426944, -98.4375"
TOR,"43.643333, -79.379167"
UTA,"40.768333, -111.901111"
WAS,"38.898129, -77.021172"
